activity_nr,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt
111782389,950612,,SMC,741 PARK AVENUE,SAN JOSE,CA,95126,A,0,N,H,3567,0,B,A,,N,,,,,,,,,,,0,,40,9/29/92,,12/24/92,12/30/92,2011-10-14 16:38:47 EDT
111782405,950612,,"SALINAS PROPERTY MANAGEMENT, INC.",368 SAN JUAN GRADE RD.,SALINAS,CA,93906,A,0,N,S,161,0,H,A,,N,,,,,,,,P.O. BOX 4368,SALINAS,CA,93912,N069    000006489,24,9/25/92,4/8/08,9/29/92,10/2/92,2011-10-14 16:38:47 EDT
111782421,950612,,TONY CERVANTES,SAN JUAN RANCH SAN JUAN GRADE,SALINAS,CA,93909,A,0,N,S,161,0,H,A,,B,,,,,,,,838 CARI COURT,SALINAS,CA,93909,,19,9/25/92,,9/30/92,2/21/93,2011-10-14 16:38:47 EDT
111782439,950612,,"SALINAS PROPERTY MANAGEMENT, INC.",368 SAN JUAN GRADE RD.,SALINAS,CA,93906,A,0,N,S,161,0,H,A,,N,,,,,,,,P.O. BOX 4368,SALINAS,CA,93912,N069    000006489,88,9/25/92,4/8/08,9/29/92,10/2/92,2011-10-14 16:38:47 EDT
111782447,950612,,"SALINAS PROPERTY MANAGEMENT, INC.",368 SAN JUAN GRADE RD.,SALINAS,CA,93906,A,0,N,S,161,0,H,A,,N,,,,,,,,P.O. BOX 4368,SALINAS,CA,93912,N069    000006489,25,9/25/92,4/8/08,9/29/92,10/2/92,2011-10-14 16:38:47 EDT
111782454,950612,,FALORE JEEP EAGLE,776 E EL CAMINO REAL,SUNNYVALE,CA,94087,A,0,N,S,7532,0,B,A,,A,,,,,,,,666 E EL CAMINO REAL,SUNNYVALE,CA,94086,,80,10/5/92,,12/8/92,2/21/93,2011-10-14 16:38:47 EDT
111782462,950612,,KAISER PERMANENTE,900 KIELY BLVD,SANTA CLARA,CA,95051,A,0,N,H,8062,0,B,B,,Y,,,,,,,,,,,0,N069    000008277,2500,10/7/92,8/29/06,10/7/92,2/21/93,2011-10-14 16:38:47 EDT
111782470,950612,,PEPSI COLA,960 KIFER ROAD,SUNNYVALE,CA,94086,A,0,N,H,2086,0,B,A,,N,,,,,,,,,,,0,N069    000006733,87,10/23/92,3/28/08,12/17/92,2/21/93,2011-10-14 16:38:47 EDT
111782488,950612,,DEPT OF REHAB,12451 FIRST STREET,GILROY,CA,95020,C,0,N,H,1420,0,B,A,,Y,,,,,,,,,,,0,,3,10/27/92,,12/21/92,2/8/93,2011-10-14 16:38:47 EDT
111782496,950612,,ACER,528 BRENNAN STREET,SAN JOSE,CA,95113,A,0,N,H,3823,0,B,A,,N,,,,,,,,2641 ORCHARD PARKWAY,SAN JOSE,CA,95134,,50,11/4/92,,11/23/92,2/21/93,2011-10-14 16:38:47 EDT
111782504,950612,,EMERY WORLDWIDE,675 BRENAN STREET,SAN JOSE,CA,95131,A,0,N,S,4231,0,A,B,,Y,,,,,,,,,,,0,,65,9/28/92,,9/28/92,10/13/92,2011-10-14 16:38:47 EDT
111782512,950612,,SANTA CLARA COUNTY ROADS AND AIRPORT DEPT.,1505 SHALLENBERGER RD.,SAN JOSE,CA,95131,A,0,N,S,4011,0,B,B,,Y,,,,,,,,,,,0,N069    000000140,80,9/29/92,9/10/14,9/29/92,2/21/93,2014-09-13 02:11:07 EDT
111782520,950612,,ZEP MANUFACTURING,2970 CORVIN DRIVE,SANTA CLARA,CA,95052,A,0,N,H,2842,0,A,A,,Y,,,,,,,,,,,0,,45,9/30/92,,11/9/92,3/9/94,2011-10-14 16:38:47 EDT
111782538,950612,,JEFFCO,20601 HENWOOD STREET,SAN JOSE,CA,95120,A,0,N,S,7342,0,B,A,,B,,,,,,,,,,,0,,7,9/30/92,,9/30/92,10/2/92,2011-10-14 16:38:47 EDT
111782546,950612,,TOGLIETTI FARMS,12455 SYCAMORE AVENUE,SAN MARTIN,CA,95046,A,0,N,S,161,0,H,A,,N,,,,,,,,12375 FOOTHILL ROAD,SAN MARTIN,CA,95046,,65,10/1/92,,10/1/92,10/30/97,2011-10-14 16:38:47 EDT
111782553,950612,,SALYER AMERICAN FRESH FOODS,19065 PORTOLA DR. SUITE G,SALINAS,CA,93908,A,0,N,S,161,0,H,A,,N,,,,,,,,"19065 PORTOLA DRIVE, #G",SALINAS,CA,93908,N069    000017274,58,9/25/92,4/8/08,9/25/92,10/2/92,2011-10-14 16:38:47 EDT
111782561,950612,,FABDEN,12506 RIVERSIDE DRIVE,WATSONVILLE,CA,95076,A,0,N,S,161,0,H,A,,B,,,,,,,,585-D ARTHUR ROAD,WATSONVILLE,CA,95076,,47,10/1/92,,10/1/92,10/13/92,2011-10-14 16:38:47 EDT
111782579,950612,,METAL GRAPHICS,3283 SCOTT BLVD,SANTA CLARA,CA,95050,A,0,N,H,3479,0,B,A,,B,,,,,,,,,,,0,,6,10/7/92,,11/4/92,2/21/93,2011-10-14 16:38:47 EDT
111782587,950612,,LORD & SONS INC,1085 N 7TH STREET,SAN JOSE,CA,95112,A,0,N,S,5082,0,A,B,,B,,,,,,,,,,,0,,26,8/13/92,,8/19/92,9/14/92,2011-10-14 16:38:47 EDT
111782595,950612,,NATIONAL PRINTING,510 NORTH FIRST STREET,SAN JOSE,CA,95112,A,0,N,H,2759,0,B,A,,A,,,,,,,,,,,0,,2,8/17/92,,8/17/92,9/30/92,2011-10-14 16:38:47 EDT
111782603,950612,,GOOD HEALTH MEDICAL CENTER,3002 LEIGH AVENUE BLDG 100,SAN JOSE,CA,95124,A,0,N,H,8011,0,B,A,,N,,,,,,,,,,,0,,75,8/18/92,,8/20/92,3/3/94,2011-10-14 16:38:47 EDT
111782611,950612,,ROBERT GILNER MASONRY,865 BLOSSOM HILL ROAD,SAN JOSE,CA,95123,A,0,N,S,1741,0,I,A,,B,,,,,,,,1240 N MAIN STREET,MANTECA,CA,95336,,7,8/11/92,,8/11/92,2/21/93,2011-10-14 16:38:47 EDT
111782629,950612,,L.A. CONSTRUCTION COMPANY,3171 MERIDIAN AVENUE,SAN JOSE,CA,95125,A,0,N,S,1761,0,H,A,,N,,,,,,,,441 S. HENRY AVENUE,SAN JOSE,CA,95117,N069    000008484,4,8/25/92,3/19/08,8/26/92,2/21/93,2011-10-14 16:38:47 EDT
111782637,950612,,EAST VALLEY PAVILLON,101 JOSE FIGUERES AVENUE,SAN JOSE,CA,95116,B,0,N,S,8063,0,B,A,,A,,,,,,,,,,,0,,250,8/12/92,,8/12/92,9/17/92,2011-10-14 16:38:47 EDT
111782645,950612,,G H GROUP INC,1845 HILLSDALE AVENUE,SAN JOSE,CA,95124,A,0,N,S,1542,0,I,A,,B,,,,,,,,6500 VILLAGE PARKWAY SUITE 105,DUBLIN,CA,94568,,2,8/25/92,,8/25/92,9/22/92,2011-10-14 16:38:47 EDT
111782652,950612,,SANTA CLARA COMMUNICATIONS,1990 WALSH AVENUE,SANTA CLARA,CA,95050,B,0,N,S,4953,0,A,B,,Y,,,,,,,,1500 WARBURTON AVENUE,SANTA CLARA,CA,95050,,100,5/20/92,,7/8/92,8/19/92,2011-10-14 16:38:47 EDT
111782678,950612,,CITY OF SAN JOSE - CITY ATTORNEY,131 W. MISSION,SAN JOSE,CA,95110,B,0,N,S,9222,0,B,B,,Y,X,,,,,,,,,,0,N069    000000872,1500,8/30/90,5/14/08,6/4/91,6/4/91,2011-10-14 16:38:47 EDT
111782686,950612,,SANTA CLARA COUNTY OFFICE OF EDUCATION,1290 RIDDER PARK,SAN JOSE,CA,95131,B,0,N,S,9199,0,B,B,,Y,,,,,,,,,,,0,N069    000013571,1000,8/1/90,4/28/08,8/10/90,6/4/91,2011-10-14 16:38:47 EDT
111782694,950612,,CASCADE METAL,1150 MAYBURY,SAN JOSE,CA,95133,A,0,N,S,1791,0,B,A,,A,,,,,,,,P.O. BOX 610160,SAN JOSE,CA,95133,,50,7/26/90,,8/3/90,6/5/91,2011-10-14 16:38:47 EDT
111782710,950612,,DINWIDDIE CONSTRUCTION CO.,"275 BATTERY STREET, SUITE 300",SAN FRANCISCO,CA,94304,A,0,N,H,5311,0,B,A,,Y,,,,,,,,,,,0,N069    000014804,400,12/26/90,5/7/08,1/3/91,2/15/91,2011-10-14 16:38:47 EDT
111782728,950612,,"LOCKHEED MISSILES & SPACE CO., INC.",1111 LOCKHEED WAY,SUNNYVALE,CA,94089,A,0,N,S,3271,0,A,B,,Y,,,,,,,,,,,0,N069    000000567,2400,12/19/90,3/19/08,1/17/91,2/4/91,2011-10-14 16:38:47 EDT
111782744,950612,,FMC CORP.,1125 COLEMAN AVE.,SAN JOSE,CA,95103,A,0,N,S,3795,0,A,B,,Y,X,,,,,,,P.O. BOX 367,SAN JOSE,CA,95103,,4100,12/21/90,,12/26/90,5/14/91,2011-10-14 16:38:47 EDT
111782751,950612,,ELECTROLESS NICKEL SPECIALTIES,3165 MOLINARO ST.,SANTA CLARA,CA,95024,A,0,N,S,3471,0,F,A,,B,X,,,,,,,,,,0,,75,12/28/90,,12/28/90,10/25/91,2011-10-14 16:38:47 EDT
111782769,950612,,ELECTROLESS NICKEL SPECIALTIES,3165 MOLINARO ST.,SANTA CLARA,CA,95024,A,0,N,H,3471,0,F,A,,B,,,,X,,,,,,,0,,75,12/27/90,,12/27/90,5/17/91,2011-10-14 16:38:47 EDT
111782777,950612,,LIFSCHULTZ TRUCKING,734 BLOSSOM HILL ROAD,LOS GATOS,CA,95030,A,0,N,S,4214,0,A,B,,A,,,,,,,,29001 HOPKINS ST.,HAYWARD,CA,94545,,12,11/20/90,,12/20/90,10/25/91,2011-10-14 16:38:47 EDT
111782785,950612,,APPLIED ENGINEERING,970 LONUS ST.,SAN JOSE,CA,95126,A,0,N,H,3621,0,B,A,,N,,,,X,,,,,,,0,N069    000002469,20,1/2/91,5/25/04,1/2/91,3/1/91,2011-10-14 16:38:47 EDT
111782793,950612,,WESTINGHOUSE MARINE DIVISION,401 E. HENDY AVE.,SUNNYVALE,CA,94088,A,0,N,H,3429,0,B,B,,Y,,,,,,,,,,,0,N069    000003444,3000,1/2/91,3/27/08,2/8/91,6/18/91,2011-10-14 16:38:47 EDT
111782819,950612,,"STATE OF CALIFORNIA, CALTRANS",BRANUM LANE & NARVAEZ RD.,SAN JOSE,CA,95136,C,0,N,S,9621,0,B,A,,A,,,,,,,,10130 BUBB RD.,CUPERTINO,CA,95014,,1,12/28/90,,1/3/91,1/22/91,2011-10-14 16:38:47 EDT
