Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,1/21/12,1/12/12,Pittman Nursery Inc., Magnolia,AR,71753,,,Worker drowns after falling out of a boat while performing maintenance on an irrigation pump.
FY 2012,3/31/12,3/30/12,Frit Industries Inc., Walnut Ridge,AR,72476,,,Worker inspecting the removal of compacted soil from inside a fertilizer mixer died when he became engulfed in raw material after the mixer was turned on.
FY 2012,7/7/12,6/25/12,Symmetry Turf Installations LLC, Fayetteville,AR,72701,,,Worker laying artificial turf died from possible heat stress.
FY 2012,3/31/12,3/28/12,Utilicon Solutions LTD, Wabbaseka,AR,72775,,,Worker replacing utility poles was electrocuted.
FY 2012,2/25/12,2/17/12,US Airways Group Inc., Phoenix,AZ,85034,,,Worker was crushed between two vertically moving conveyor belts.
FY 2012,12/31/11,12/22/11,Stone Burg Marble and Granite, Tempe,AZ,85284,,,Worker was crushed by a stack of stone slabs.
FY 2012,10/1/11,8/22/11,20/20 Real Estate Review, Sahuarita,AZ,85629,,,Worker fell off a ladder.
FY 2012,12/10/11,11/1/11,Medley Communications, Sierrra Vista,AZ,85635,,,Worker died when he fell 18 feet while climbing a ladder.
FY 2012,2/18/12,2/10/12,Fertizona San-Tan, Stanfield,AZ,85712,,,Worker died from a head injury after falling off a ladder.
FY 2012,11/12/11,10/25/11,G &S Paving, Palo Alto,CA,,,,Worker struck by truck travelling in reverse.
FY 2012,6/23/12,6/13/12,NOSWerks, Los Angeles,CA,90007,,,Worker was killed when bottles of nitrous oxide exploded.
FY 2012,11/12/11,10/28/11,Dependable Highway Express Inc., Los Angeles,CA,90023,,,Worker died after falling off dock while trying to stop an out of control forklift.
FY 2012,12/10/11,12/8/11,CAL Strip Industries, Commerce,CA,90040,,,Worker died after falling nearly 40 feet from an aerial lift work platform after a bridge crane collided into the lift boom.
FY 2012,9/1/12,8/30/12,Hai Chang Inc., Bell,CA,90201,,,Worker was behind truck and was caught-between truck and loading dock.
FY 2012,5/12/12,5/10/12,Roya and Isaac Musighi, Beverly Hills,CA,90210,,,Worker inside an unshored trench at a residential construction site was asphyxiated when the trench collapsed.
FY 2012,8/4/12,8/2/12,Fox Transportation, Racho Dominiquez,CA,90220,,,Worker suffered fatal head injuries after he was runover by a transport truck.
FY 2012,7/28/12,7/22/12,All American Asphalt, Torrance,CA,90502,,,"Two workers were killed, one injured after they were struck by two vehicles while laying concrete on a highway."
FY 2012,7/28/12,7/27/12,PG&E Subcontractors, Bridgeville,CA,90526,,,Worker fell approximately 80 feet from structure.
FY 2012,1/14/12,1/4/12,Super Center Concepts, Santa Fe Springs,CA,90670,,,Worker died when he was caught between a truck and a loading dock.
FY 2012,3/31/12,3/29/12,Hathaway Ranch and Oil Museum, Santa Fe Springs,CA,90670,,,"Worker at a ranch museum who was driving a tractor died after it overturned, pinning the worker to the ground."
FY 2012,8/4/12,8/1/12,Golden State Elevators Inc., Paramount,CA,90723,,,Worker performing repairs to an elevator fell 26 feet.
FY 2012,7/28/12,7/27/12,Carlton Forge Works,Paramount,CA,90723,,,Worker performing forging activities was struck and killed by debris.
FY 2012,6/9/12,6/5/12,Abhe & Svoboda, San Pedro,CA,90731,,,Worker sand blasting diesel fuel tanks died from a possible heart attack.
FY 2012,4/21/12,4/19/12,OFC Transport, Wilmington,CA,90744,,,Worker refueling his truck was killed when the truck moved forward and rolled over him.
FY 2012,1/7/12,11/16/11,Ventura Transfer, Carson,CA,90810,,,Worker died after being struck by a trailer.
FY 2012,7/28/12,7/28/12,Esteban Casimiro, Arcadia,CA,91006,,,Worker trimming trees was electrocuted after touching a powerline.
FY 2012,11/12/11,10/7/11,Agustin Valladares Tree Trimming, Thousand Oaks,CA,91361,,,Tree trimmer died from head injuries after falling 30 feet from a tree.
FY 2012,6/9/12,6/6/12,Live Nation, Universal City,CA,91608,,,Worker fell 60 feet from scaffolding while working inside an amphitheater.
FY 2012,3/24/12,3/23/12,Harrington Plastics, Chino,CA,91710,,,Worker delivering loads of fiberglass was killed when a 420-pound load struck him on the head and landed on his chest.
FY 2012,4/21/12,4/9/12,Yorba River Inc. dba Pro-Towing, Chino,CA,91710,,,Worker performing maintenance on a tow truck was killed when he was hit and dragged by the moving truck.
FY 2012,3/24/12,3/16/12,Oscar's Painting, Rancho Cucamonga,CA,91730,,,Three workers painting inside a facility were found dead from carbon monoxide poisoning after a gasoline-powered air compressor was running without fuel.
FY 2012,2/11/12,2/8/12,Gerdan/Tamco Steel, Rancho Cucamonga,CA,91739,,,Worker was found unresponsive on the floor.
FY 2012,5/19/12,5/18/12,ABM Facility Services Inc., Ontario,CA,91767,,,Building maintenance worker changing a device used to stabilize the current in an electrical circuit was electrocuted.
FY 2012,2/11/12,1/30/12,Southern California Soil & Testing, San Diego,CA,92120,,,Worker was struck and killed by an airplane propeller while trying to start engine.
FY 2012,1/7/12,12/6/11,Summit Equipment Rental, San Diego,CA,92154,,,Worker operating a boom lift died from head injuries when lift tipped over.
FY 2012,5/5/12,5/1/12,USF Reddaway dba Reddaway, Fontana,CA,92237,,,Worker at a truck terminal died after being hit by a tractor used to move containers.
FY 2012,5/26/12,5/22/12,Boss 4 Packing LLC, Heber,CA,92249,,,Worker died from possible heat stress after becoming unconscious while harvesting cantaloupes outdoors.
FY 2012,7/28/12,7/22/12,Dalton Trucking Inc., Fontana,CA,92335,,,Worker repairing bottom of dump sand truck was caught between the truck's pneumatic and hydraulic bottom gates.
FY 2012,4/21/12,4/19/12,Erosion Control Applications Inc., Hinkley,CA,92347,,,Worker using a bobcat and boom lift to remove an aluminum tube that was stuck inside a liner roll died from head injuries when he became pinned between bobcat and its frame.
FY 2012,9/8/12,8/31/12,Fireworks and Stage FX America Inc., Lake Elsinor,CA,92530,,,Worker was preparing aerial fireworks when an explosion occurred. Worker was hospitalized but succumbed to injuries on 9/2/2012.
FY 2012,12/10/11,12/5/11,Sharp Roofing, Irvine,CA,92603,,,Worker removing roofing tiles died after falling 14 feet and striking his head.
FY 2012,2/4/12,10/16/07,American Nostalgia, Irvine,CA,92618,,,Worker who suffered seizures resulting from head and spinal injuries after a 2007 fall died from the seizures.
FY 2012,2/4/12,2/2/12,California Yacht Services, Huntington Beach,CA,92649,,,Worker drowned while cleaning a boat at the harbor.
FY 2012,11/19/11,11/15/11,Vista Paints, Fullerton,CA,92831,,,One worker was killed and another hospitalized after being overcome by fumes while using a paint stripping chemical in a confined space.
FY 2012,4/21/12,4/2/12,Santa Barbara Historical Museum, Santa Barbara,CA,93101,,,Worker suffered fatal head injuries after falling down 20 steps.
FY 2012,6/23/12,6/19/12,Sky Brand Services, Arvin,CA,93203,,,Worker dismantling pipes on an oil tanker was killed when the tank exploded.
FY 2012,1/14/12,12/30/11,Sunny Gem LLC/Cal Ag Resource, Buttom Willow,CA,93206,,,Worker was struck and killed by another worker driving a loader.
FY 2012,4/21/12,4/20/12,Key Energy Services Inc., Fellows,CA,93224,,,Worker was struck and killed while trying to stop his truck from rolling downhill.
FY 2012,12/3/11,11/30/11,Nichols Farms, Hanford,CA,93230,,,Worker was struck and killed by the seal from an over-pressurized diesel fuel tank.
FY 2012,6/9/12,6/1/12,Temp Handbody Farm Labor Services, Huron,CA,93234,,,Farm worker pruning fruit trees died from possible heat stress.
FY 2012,3/17/12,2/29/12,B&B Well Drilling, Laton,CA,93242,,,Worker at an oil rig was killed when a 300-pound clamp that he tried to attach to a well drilling machine fell on him.
FY 2012,6/23/12,6/19/12,Cleveland Wrecking Company, Bakersfield,CA,93308,,,Worker died from a 50-foot fall when the beam he was cutting collapsed and knocked over the man-basket he was inside.
FY 2012,4/7/12,4/3/12,Mericle Mechanical Inc., Mettler,CA,93313,,,Worker repairing a HVAC unit on a warehouse roof died after falling 39 feet through a skylight.
FY 2012,1/21/12,1/4/12,California Department of Corrections, San Luis Obispo,CA,93405,,,Worker was on a training hike when he collapsed.
FY 2012,10/1/11,9/23/11,Witten Logging Co., Tehachapi,CA,93561,,,Logger cutting trees was struck and killed by a large falling limb.
FY 2012,10/1/11,9/30/11,F & T Farms, Caruthers,CA,93609,,,Worker operating a farm vehicle was killed when he hit a gate and a metal pipe struck his head.
FY 2012,7/28/12,7/23/12,Terra Nova Ranch, Helm,CA,93627,,,Farm worker died from head injuries when his ATV hit a tomato trailer.
FY 2012,2/11/12,2/5/12,Bar 20 Dairy LLC, Karman,CA,93630,,,Worker washing concrete floor died after falling 12 feet over guard railing.
FY 2012,10/1/11,7/26/11,Calvin Crest Conference, Oakhurst,CA,93636,,,Rock climbing instructor died after falling from a 26-foot tower.
FY 2012,9/15/12,9/11/12,Gibson Winery, Sanger,CA,93657,,,Employee working as a wine blender died from asphyxiation after being exposed to ammonia gas.
FY 2012,10/1/11,9/28/11,Performance Welding & Machine, Fresno,CA,93725,,,Worker was electrocuted while using a welder that was not grounded properly.
FY 2012,8/1/12,8/1/12,Valley Healthcare Center LLC, Fresno,CA,93727,,,Healthcare worker died after contracting tuberculosis.
FY 2012,9/29/12,9/26/12,Steven Barkoff ,Hillsborough,CA,94010,,,"Worker fell from attic to garage floor striking a flower base, hitting the right artery by armpit resulting in loss of blood. Worker was hospitalized but died in ER."
FY 2012,4/28/12,4/28/12,Northern California Institute for Research and Education, San Francisco,CA,94121,,,Lab worker died from complications related to exposure to infectious bacteria.
FY 2012,9/29/12,9/22/12,Prime Flight Aviation Services ,San Francisco,CA,94128,,,Worker drove service truck off road crashing into parked lear jet.
FY 2012,12/24/11,12/6/11,Four Leaf Construction, Palo Alto,CA,94301,,,Worker fell in an elevator shaft.
FY 2012,3/24/12,3/9/12,Peninsula Sanitary Service Inc., Stanford,CA,94305,,,Worker on trash collection route was struck by unattended trash truck after exiting the truck to stop a dumpster from rolling down the street.
FY 2012,6/23/12,6/21/12,Jimmy A. Odom General Building Contractors, Antioch,CA,94509,,,Worker installing sheeting on the exterior of a house died after falling eight feet from ladder.
FY 2012,5/19/12,5/19/12,Wente Family Estates/Wente Vineyards Restaurant, Livemore,CA,94550,,,Worker catering an all-day outdoor event died from possible heat-related illness.
FY 2012,11/19/11,11/13/11,Big Lots, Livermore,CA,94551,,,Worker died after collapsing while working in a home furnishings store.
FY 2012,1/7/12,11/13/11,Big Lots, Livermore,CA,94551,,,Worker collapsed for unknown reasons.
FY 2012,7/14/12,7/11/12,Windsor Fuel Company, Pittsburg,CA,94565,,,Worker shifting traffic control cones was struck and killed by a vehicle.
FY 2012,7/7/12,7/5/12,Alameda County Fair, Pleasanton,CA,94566,,,Horse jockey died after being thrown from horse and trampled on.
FY 2012,6/23/12,6/18/12,Waste Management, San Leandro,CA,94577,,,Worker in a waste management plant was struck and killed by a bulldozer.
FY 2012,3/17/12,3/15/12,Berkeley Forge & Tool Inc., Berkeley,CA,94710,,,Worker at a tool manufacturing facility was killed when a piece from a pneumatic grinder he was welding struck his head.
FY 2012,12/10/11,12/5/11,Mission City Fumigation, San Rafael,CA,94901,,,Worker was fumigating a house and collapsed.
FY 2012,9/15/12,9/13/12,Delicato Winery Vineyard, Manteca,CA,95336,,,Worker unhitching a trailer died after he was run over by another driver.
FY 2012,11/12/11,11/7/11,BND Transport LLC, Mantera,CA,95336,,,Worker disconnecting a garbage trailer from a tractor was killed when the tractor and trailer ran over him.
FY 2012,7/28/12,7/23/12,Sierra Pacific Industries, Sonora,CA,95370,,,Worker at a lumber mill was crushed in a machine.
FY 2012,1/21/12,1/11/12,Discount Tires, Turlock,CA,95380,,,"After a jack broke, vehicle fell on worker."
FY 2012,1/14/12,1/3/12,Weathertop Nursery, Laytonville,CA,95454,,,Worker found dead in a storage area. Cause of death pending.
FY 2012,5/19/12,5/21/12,Shuster's Logging Inc., Navarro,CA,95490,,,Worker for a logging company was killed when a tree fell on him.
FY 2012,12/3/11,12/1/11,Leonardo Logging, Eureka,CA,95540,,,Worker was struck and killed by a log that bounced off a stump.
FY 2012,2/4/12,1/26/12,Juan Esparza Ruiz, Trinidad,CA,95570,,,Worker walking down cut-tree-logs fell between the logs and was crushed as the logs rolled together.
FY 2012,8/4/12,7/30/12,Bimbo Bakery, Galt,CA,95632,,,Worker was crushed by a rack of baked goods.
FY 2012,6/9/12,6/5/12,Kurt Clark dba Clark's Concrete, Newcastle,CA,95658,,,Worker was killed when a wall under demolition collapsed on him.
FY 2012,8/25/12,8/22/12,David Girard Vineyard, Placerville,CA,95667,,,Worker at a vineyard was crushed in a wine press.
FY 2012,10/1/11,9/23/11,George Pagany Farms, West Sacramento,CA,95691,,,Field laborer died from possible heat illness.
FY 2012,5/12/12,5/12/12,CA Department of Justice, Sacramento,CA,95814,,,"Worker passed away from cancer, one day after retiring. Worker was exposed to gas fumes and cleaning solvents while on duty. Not work-related."
FY 2012,2/25/12,2/22/12,Arden and Howe Car Wash Inc., Sacramento,CA,95825,,,Worker was struck and killed by a vehicle exiting the car wash.
FY 2012,5/12/12,5/9/12,Unknown, Sacramento,CA,95828,,,Worker collapsed on roof.
FY 2012,1/7/12,12/30/11,Young Life Challenge,,CA,95925,,,Worker died from a stroke.
FY 2012,5/19/12,5/15/12,Viking Construction, Chico,CA,95926,,,Worker was widening freeway and fell approximately six feet.
FY 2012,5/5/12,5/3/12,Ken's Firewood, Colusa,CA,95932,,,Worker performing demolition work was killed after a wall collapsed.
FY 2012,9/15/12,9/5/12,Roger Elliot Construction, Penn Valley,CA,95946,,,Worker changing a truck tire struck and killed by a chain on an excavator bucket.
FY 2012,1/21/12,1/12/12,Bushwacker Brush Removal, Nevada City,CA,95959,,,Worker was decapitated after being entangled in a rope caught in a wood chipper.
FY 2012,6/23/12,6/5/12,Bamford Timber, Oroville,CA,95966,,,Worker using an excavator to perform logging operations was killed when the chain on the equipment broke and struck worker in the head.
FY 2012,8/4/12,7/10/12,Tecta America, Arvada,CO,80004,,,Worker performing commercial roofing services died after falling from roof.
